"p_boot","md","p_sign","p_or","poz","M","med_dl","cv0_ort","cv0_min","isaret","boot_g","sign_g","or_g","rho_m","sd_het"
0.946689787230971,-0.0281922211090148,0.65625,0.65625,3,6,-0.0168471893003193,28.8175784707583,11.7699277684414,"110001",FALSE,FALSE,FALSE,0,0.18
0.924442106289577,-0.0287677624491324,0.890625,0.65625,2,6,-0.00414865209026438,17.5689303013856,5.25609013415412,"100100",FALSE,FALSE,FALSE,0,0.18
0.99358940566971,-0.0239673542797169,1,1,0,6,-0.0112074876254267,11.006734195727,1.2542961800648,"000000",FALSE,FALSE,FALSE,0,0.18
0.928543684675261,-0.110593193388131,0.890625,0.890625,2,6,-0.049784128534195,7.42940725343357,0.418573371979737,"010001",FALSE,FALSE,FALSE,0,0.18
0.757258037916362,-0.010997292870419,0.890625,0.890625,2,6,-0.010070218820954,10.8878203604171,5.94380161911006,"110000",FALSE,FALSE,FALSE,0,0.18
0.998153606032977,-0.0720153957718034,1,1,0,6,-0.0544966836155114,5.02321261228593,2.1866938756508,"000000",FALSE,FALSE,FALSE,0,0.18
0.781916610633118,-0.0373906469156811,0.984375,0.984375,1,6,-0.0700046615104067,4.62509329267123,2.4217097562277,"000001",FALSE,FALSE,FALSE,0,0.18
0.37746391746607,0.00531147951137885,0.890625,0.890625,2,6,-0.0173374894530423,11.2596732726844,1.86789138552937,"100100",FALSE,FALSE,FALSE,0,0.18
0.0961470164582415,0.0533563396110478,0.65625,0.65625,3,6,0.0205663532418788,5.59524809259056,0.438751275013,"000111",FALSE,FALSE,FALSE,0,0.18
0.867324209227956,-0.0199048114165523,0.890625,0.65625,2,6,-0.0177952923911586,33.5770290915035,18.7538966985374,"000101",FALSE,FALSE,FALSE,0,0.18
0.689167214325024,-0.016790979954296,0.890625,0.890625,2,6,-0.0348924742333158,2.10073638532266,1.38043778114737,"101000",FALSE,FALSE,FALSE,0,0.18
0.976320636915337,-0.0845858542398405,0.984375,0.984375,1,6,-0.0375023949389376,6.30233266546083,1.21747414757436,"100000",FALSE,FALSE,FALSE,0,0.18
0.0161817473624424,0.0142895514558938,0.34375,0.34375,4,6,0.0123283784626953,32.5964048003284,17.8444610258349,"110011",TRUE,FALSE,FALSE,0,0.18
0.95122072657782,-0.0269949292066264,0.65625,0.65625,3,6,-0.018476767103428,7.49760717111115,1.87432064432782,"100011",FALSE,FALSE,FALSE,0,0.18
0.120506436717009,0.0299652374095172,0.65625,0.65625,3,6,0.000430283353299865,9.36255896289706,3.08276386342428,"011100",FALSE,FALSE,FALSE,0,0.18
0.567134605035252,-0.0048375661582277,0.65625,0.65625,3,6,-0.00208805143001378,3.81498044833831,1.22917139233179,"000111",FALSE,FALSE,FALSE,0,0.18
0.973261343442472,-0.049263709306875,0.890625,0.890625,2,6,-0.039573766019257,17.445544899471,3.58864451244781,"000101",FALSE,FALSE,FALSE,0,0.18
0.986112066324932,-0.0207570672179735,0.890625,0.890625,2,6,-0.0152662763734408,10.6331409498505,2.06984431050083,"001010",FALSE,FALSE,FALSE,0,0.18
0.724353326570615,-0.0250344900934266,0.890625,0.890625,2,6,-0.0681951120906334,5.79087101486807,0.261011698772879,"101000",FALSE,FALSE,FALSE,0,0.18
0.192782241517222,0.106446168652631,0.65625,0.65625,3,6,-0.00434369319784977,4.9823360183422,2.89828506107204,"001101",FALSE,FALSE,FALSE,0,0.18
0.613973572422663,-0.00217113768101977,0.65625,0.34375,3,6,-0.00130857480403113,37.5881131080759,16.1732791810458,"011100",FALSE,FALSE,FALSE,0,0.18
0.282686889095712,0.015762410555752,0.34375,0.34375,4,6,0.0465839522016709,62.4738967950233,14.0558672444461,"001111",FALSE,FALSE,FALSE,0,0.18
0.942719576902055,-0.0140358613972893,0.984375,0.984375,1,6,-0.0142824080928506,10.6046608461191,0.526813006881049,"001000",FALSE,FALSE,FALSE,0,0.18
0.358436902459236,0.0154193811374144,0.890625,0.890625,2,6,-0.00763347243310775,8.80186114057223,0.253241398292384,"010100",FALSE,FALSE,FALSE,0,0.18
0.337695744492022,0.00517014046691744,0.34375,0.34375,4,6,0.00843515914730109,6.95473106577393,4.22509145934812,"101011",FALSE,FALSE,FALSE,0,0.18
0.49238269041093,0.000333115774784565,0.65625,0.65625,3,6,-0.0116205927565046,7.57863479765279,2.89290007395984,"011010",FALSE,FALSE,FALSE,0,0.18
0.989270394602437,-0.0432269071853692,0.984375,0.984375,1,6,-0.0501051826408088,8.66363828707184,1.8585167583701,"000001",FALSE,FALSE,FALSE,0,0.18
0.707619501277302,-0.0345999358775016,0.65625,0.65625,3,6,-0.0180664345074921,36.0919327522173,2.84921404943887,"101010",FALSE,FALSE,FALSE,0,0.18
0.852592850473084,-0.00692300594171202,0.890625,0.890625,2,6,-0.000853875630883127,54.7854010663842,19.2781675476434,"100010",FALSE,FALSE,FALSE,0,0.18
